Symbol,Name,Category,Exercise Price,Last Close Price,Issuer Last Close Price,Issuer Market cap,20 Day Average Volume,Issuer Symbol,Issuer,Type,Profit,Return
SQLLW,SeqLL Inc. - Warrant,Operating Companies,$0.00 ,$0.20 ,$0.80 ,"$9,509,103 ","7,932",SQL,SeqLL Inc.,Common stocks,0.6,300.00%
GROMW,Grom Social Enterprises Inc. Warrants,Operating Companies,$0.00 ,$0.16 ,$0.61 ,"$10,942,943 ",742,GROM,Grom Social Enterprises Inc.,Common stocks,0.45,281.25%
DATSW,"DatChat, Inc. - Series A Warrant",Operating Companies,$0.00 ,$0.35 ,$1.31 ,"$24,888,722 ",728,DATS,"DatChat, Inc.",Common stocks,0.96,274.29%
GOED+,1847 Goedeker Inc. Warrants to Purchase Common Stock,Operating Companies,$0.00 ,$0.43 ,$1.60 ,"$170,219,731 ","400,023",GOED,1847 Goedeker Inc.,Common stocks,1.17,272.09%
HTOOW,Fusion Fuel Green PLC - Warrant,Operating Companies,$0.00 ,$2.35 ,$8.37 ,"$93,483,751 ","4,915",HTOO,Fusion Fuel Green PLC,Common stocks,6.02,256.17%
HOFVW,Hall of Fame Resort & Entertainment Company - Warrant,Operating Companies,$0.00 ,$0.20 ,$0.71 ,"$79,856,892 ","37,940",HOFV,Hall of Fame Resort & Entertainment Company,Common stocks,0.51,255.00%
RCRTW,"Recruiter.com Group, Inc. - Warrant",Operating Companies,$0.00 ,$0.33 ,$1.13 ,"$16,078,393 ","10,825",RCRT,Recruiter.com Group Inc.,Common stocks,0.8,242.42%
LCFYW,Locafy Limited - Warrant,Operating Companies,$0.00 ,$0.26 ,$0.89 ,"$19,382,771 ","9,287",LCFY,Locafy Limited,Common stocks,0.63,242.31%
GFAIW,"Guardforce AI Co., Limited Warrant",Operating Companies,$0.00 ,$0.17 ,$0.57 ,"$12,718,985 ","14,875",GFAI,"Guardforce AI Co., Limited",Common stocks,0.4,235.29%
INVZW,Innoviz Technologies Ltd. - Warrant,Operating Companies,$0.00 ,$1.28 ,$4.25 ,"$570,506,132 ","51,750",INVZ,Innoviz Technologies Ltd.,Common stocks,2.97,232.03%
CEADW,CEA Industries Inc. - Warrant,Operating Companies,$0.00 ,$0.35 ,$1.15 ,"$9,341,333 ","14,117",CEAD,CEA Industries Inc.,Common stocks,0.8,228.57%
CUENW,"Cuentas, Inc. Warrant",Operating Companies,$0.00 ,$0.24 ,$0.73 ,"$10,326,326 ",289,CUEN,Cuentas Inc.,Common stocks,0.49,204.17%
